voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
30506.09514,-24678.55189,-5827.543251,121.1179107,-183.9687123,62.85080154,1
30894.62591,-23870.38125,-7024.244663,126.4027537,-182.5700797,56.16732605,1
31239.25373,-23028.28949,-8210.964239,131.5079713,-180.9120051,49.40403372,1
31539.48886,-22153.47328,-9386.015586,136.426309,-178.9968446,42.57053555,1
31794.90465,-21247.17576,-10547.72889,141.1507774,-176.8273198,35.67654232,1
32005.13814,-20310.68485,-11694.4533,145.6746629,-174.4065136,28.73185078,1
32169.89058,-19345.33134,-12824.55924,149.9915366,-171.7378663,21.7463297,1
32288.92784,-18352.48706,-13936.44079,154.0952642,-168.8251701,14.7299059,1
32362.08078,-17333.56288,-15028.51789,157.980014,-165.6725641,7.692550094,1
32389.24542,-16290.00677,-16099.23865,161.6402656,-162.2845283,0.644262755,1
32370.38317,-15223.30167,-17147.0815,165.0708174,-158.6658773,-6.404940117,1
32305.52084,-14134.96342,-18170.55742,168.2667947,-154.8217534,-13.44504122,1
32194.75059,-13026.53861,-19168.21198,171.2236555,-150.7576194,-20.46603618,1
32038.22984,-11899.60239,-20138.62746,173.9371983,-146.4792505,-27.45794779,1
31836.18102,-10755.75617,-21080.42485,176.4035667,-141.9927265,-34.41084014,1
31588.89124,-9596.625438,-21992.2658,178.619256,-137.3044232,-41.31483282,1
31296.71191,-8423.857375,-22872.85454,180.5811176,-132.4210027,-48.16011485,1
30960.05825,-7239.11855,-23720.9397,182.2863635,-127.3494048,-54.93695872,1
30579.40865,-6044.092541,-24535.31611,183.7325705,-122.0968364,-61.63573418,1
30155.30403,-4840.477546,-25314.82649,184.9176835,-116.6707617,-68.24692188,1
29688.34708,-3629.983968,-26058.36312,185.8400184,-111.0788914,-74.76112696,1
29179.20137,-2414.331983,-26764.86938,186.4982644,-105.329172,-81.1690924,1
28628.59041,-1195.249101,-27433.34131,186.8914862,-99.42977405,-87.46171212,1
28037.29666,25.53229524,-28062.82895,187.0191249,-93.38908095,-93.63004395,1
27406.16037,1246.277409,-28652.43778,186.8809992,-87.21567687,-99.66532238,1
26736.07843,2465.251494,-29201.32993,186.4773055,-80.91833453,-105.5589709,1
26028.00306,3680.722322,-29708.72539,185.8086172,-74.50600282,-111.3026144,1
25282.94048,4890.962643,-30173.90312,184.8758847,-67.98779399,-116.8880908,1
24501.94945,6094.252637,-30596.20209,183.6804335,-61.37297079,-122.3074627,1
23686.13981,7288.882366,-30975.02218,182.2239624,-54.67093324,-127.5530291,1
22836.67087,8473.154193,-31309.82507,180.508541,-47.89120531,-132.6173357,1
21954.74978,9645.385205,-31600.13498,178.5366071,-41.04342135,-137.4931858,1
21041.62978,10803.9096,-31845.53937,176.3109629,-34.13731244,-142.1736505,1
20098.60847,11947.08104,-32045.68951,173.8347712,-27.18269255,-146.6520787,1
19127.02594,13073.27503,-32200.30097,171.1115508,-20.18944456,-150.9221063,1
18128.26287,14180.89118,-32309.15405,168.1451715,-13.16750626,-154.9776653,1
17103.73853,15268.35551,-32372.09404,164.9398487,-6.126856219,-158.8129925,1
16054.90885,16334.12267,-32389.03152,161.5001374,0.92250042,-162.4226378,1
14983.26427,17376.67814,-32359.94241,157.8309255,7.970546137,-165.8014716,1
13890.32765,18394.54041,-32284.86806,153.9374273,15.00726527,-168.9446925,1
12777.65211,19386.26303,-32163.91513,149.8251755,22.02265826,-171.8478338,1
11646.81883,20350.43671,-31997.25553,145.500014,29.00675585,-174.5067698,1
10499.43478,21285.6913,-31785.12608,140.9680889,35.94963325,-176.9177222,1
9337.130458,22190.69776,-31527.82822,136.2358406,42.84142425,-179.0772648,1
8161.557565,23064.17003,-31225.72759,131.3099936,49.67233524,-180.9823288,1
6974.386652,23904.86684,-30879.2535,126.1975479,56.43265913,-182.6302071,1
5777.304755,24711.59354,-30488.89829,120.9057687,63.11278913,-184.0185578,1
4572.012991,25483.2037,-30055.21669,115.4421757,69.70323239,-185.1454081,1
3360.224146,26218.60084,-29578.82499,109.814533,76.19462355,-186.0091566,1
2143.660239,26916.73992,-29060.40016,104.0308379,82.57773798,-186.6085759,1
924.0500735,27576.62883,-28500.67891,98.09930932,88.84350492,-186.9428142,1
