voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
19025.34694,7876.270481,-26901.61742,306.1838011,-74.34097273,-231.8428284,1
18255.04687,8870.064995,-27125.11186,302.5389399,-62.5804568,-239.9584831,1
17458.80537,9851.254661,-27310.06003,298.4641543,-50.73101062,-247.7331437,1
16637.75396,10818.44516,-27456.19912,293.9652349,-38.80947289,-255.155762,1
15793.05939,11770.26205,-27563.32144,289.0485747,-26.83278478,-262.2157899,1
14925.92202,12705.35275,-27631.27478,283.7211607,-14.81796582,-268.9031949,1
14037.5741,13622.38846,-27659.96256,277.9905634,-2.782089712,-275.2084737,1
13129.27802,14520.066,-27649.34402,271.8649263,9.257739896,-281.1226662,1
12202.32451,15397.10974,-27599.43425,265.3529543,21.28441375,-286.637368,1
11258.03083,16252.27334,-27510.30417,258.4639012,33.28084128,-291.7447425,1
10297.73888,17084.34157,-27382.08045,251.2075567,45.22997492,-296.4375317,1
9322.813275,17892.13201,-27214.94529,243.5942326,57.11483429,-300.7090669,1
8334.639442,18674.49676,-27009.1362,235.6347477,68.91853036,-304.5532781,1
7334.62163,19430.32403,-26764.94566,227.340413,80.62428942,-307.9647024,1
6324.18092,20158.53974,-26482.72066,218.7230151,92.21547696,-310.9384921,1
5304.753203,20858.10907,-26162.86227,209.7947998,103.6756213,-313.4704211,1
4277.787141,21528.03788,-25805.82502,200.5684547,114.9884368,-315.5568915,1
3244.74211,22167.37417,-25412.11628,191.0570907,126.1378475,-317.1949383,1
2207.086122,22775.20941,-24982.29553,181.2742242,137.1080094,-318.3822337,1
1166.293744,23350.67983,-24516.97357,171.2337572,147.8833334,-319.1170905,1
123.8439992,23892.96765,-24016.81165,160.9499575,158.448507,-319.3984646,1
-918.7817348,24401.30226,-23482.52053,150.4374392,168.7885166,-319.2259559,1
-1960.10183,24874.96129,-22914.85946,139.7111411,178.8886686,-318.5998096,1
-2998.636513,25313.27164,-22314.63512,128.7863057,188.7346099,-317.5209156,1
-4032.909969,25715.61044,-21682.70047,117.678458,198.312349,-315.990807,1
-5061.45244,26081.40595,-21019.95351,106.4033828,207.6082754,-314.0116582,1
